human,hydra,type
ABCA3,t24192aep,one_one
ABCA3,t24747aep,one_one
ABCA3,t33342aep,one_one
ABCA3,t27775aep,one_one
ABCA3,t30407aep,one_one
ABCA3,t31203aep,one_one
CAPSL,t4160aep,one_one
CAPSL,t21482aep,one_one
CAPSL,t5529aep,one_one
CAPSL,t31267aep,one_one
CAPSL,t35692aep,one_one
OTOF,t32696aep,one_one
OTOF,t31356aep,one_one
OTOF,t37405aep,one_one
OTOF,t11461aep,one_one
OTOF,t26571aep,one_one
OTOF,t26306aep,one_one
BST1,t13303aep,many_one
CD38,t13303aep,many_one
BST1,t33670aep,many_one
CD38,t33670aep,many_one
BST1,t28821aep,many_one
CD38,t28821aep,many_one
BST1,t6086aep,many_one
CD38,t6086aep,many_one
BST1,t21205aep,many_one
CD38,t21205aep,many_one
BST1,t5618aep,many_one
CD38,t5618aep,many_one
BST1,t31723aep,many_one
CD38,t31723aep,many_one
ERAP1,t29864aep,one_one
ERAP1,t33356aep,one_one
ERAP1,t17828aep,one_one
GLIPR2,t34467aep,one_one
GLIPR2,t6208aep,one_one
GLIPR2,t37981aep,one_one
GLIPR2,t8536aep,one_one
GLIPR2,t3768aep,one_one
GLIPR2,t6548aep,one_one
GLIPR2,t1107aep,one_one
SAMD3,t25172aep,one_one
SAMD3,t32037aep,one_one
SAMD3,t8577aep,one_one
SAMD3,t489aep,one_one
SAMD3,t7889aep,one_one
ABCA1,t36160aep,one_one
ABCA1,t27992aep,one_one
ABCA1,t31619aep,one_one
ABCA1,t31462aep,one_one
ABCA1,t31444aep,one_one
ABCA1,t36032aep,one_one
RNF213,t29674aep,one_one
RNF213,t33022aep,one_one
RNF213,t16179aep,one_one
RNF213,t30176aep,one_one
RNF213,t30177aep,one_one
RNF213,t8142aep,one_one
RHAG,t33410aep,one_one
RHAG,t26122aep,one_one
RHAG,t35900aep,one_one
SLC7A9,t12272aep,one_one
SLC7A9,t9001aep,one_one
SLC7A9,t22017aep,one_one
SLC7A9,t22018aep,one_one
SLC7A9,t9356aep,one_one
GRM1,t7997aep,many_one
GRM5,t7997aep,many_one
GRM3,t7997aep,many_one
GRM2,t7997aep,many_one
GRM8,t7997aep,many_one
GRM7,t7997aep,many_one
GRM4,t7997aep,many_one
GRM6,t7997aep,many_one
KLHL28,t7235aep,one_one
KLHL28,t23087aep,one_one
KLHL28,t22295aep,one_one
KLHL28,t7099aep,one_one
MAP3K2,t31114aep,many_one
MAP3K3,t31114aep,many_one
MAP3K2,t4306aep,many_one
MAP3K3,t4306aep,many_one
MAP3K2,t30978aep,many_one
MAP3K3,t30978aep,many_one
ANO4,t27969aep,many_one
ANO3,t27969aep,many_one
ANO4,t34613aep,many_one
ANO3,t34613aep,many_one
ANO4,t15088aep,many_one
ANO3,t15088aep,many_one
PRTG,t16784aep,many_one
IGDCC4,t16784aep,many_one
IGDCC3,t16784aep,many_one
NEO1,t16784aep,many_one
DCC,t16784aep,many_one
FRRS1,t22653aep,one_one
FRRS1,t15079aep,one_one
KCNA1,t12134aep,many_one
KCNA2,t12134aep,many_one
